Gene,Control Linear Regression Slope,Control Linear Regression R2,siUPF1 Linear Regression Slope,siUPF1 Linear Regression R2,Control Log Regression Slope,Control Log Regression R2,siUPF1 Log Regression Slope,siUPF1 Log Regression R2,Category
REPIN1,-0.002184802,0.922680755,-0.001837628,0.94697273,-0.004022863,0.893121563,-0.003200111,0.961167105,siUPF1-Stab
RHOG,-0.004200232,0.918147638,-0.003860644,0.871648114,-0.010666123,0.905686051,-0.00876791,0.881214079,siUPF1-Stab
RIPK4,-0.004978482,0.946822573,-0.004740463,0.884819501,-0.019975988,0.978346031,-0.017174084,0.963365846,siUPF1-Stab
RNF113A,-0.003819712,0.866255038,-0.003360475,0.975197159,-0.008733366,0.88545875,-0.007445135,0.947879781,siUPF1-Stab
RNF122,-0.003223646,0.942773849,-0.002778002,0.968291714,-0.006906845,0.944170764,-0.005515493,0.970495869,siUPF1-Stab
RNF19B,-0.00495651,0.942625157,-0.004735445,0.915178151,-0.015809428,0.907518107,-0.013603651,0.898957766,siUPF1-Stab
RNF24,-0.004312161,0.97629636,-0.003908036,0.966367229,-0.011844458,0.933930642,-0.009467456,0.949224851,siUPF1-Stab
RNF25,-0.003751832,0.97290535,-0.00303465,0.982485736,-0.008829351,0.951402637,-0.006228828,0.965467893,siUPF1-Stab
RNF40,-0.001187299,0.922181888,-0.000891062,0.891382511,-0.001910838,0.919998129,-0.001380431,0.89141517,siUPF1-Stab
RP9,-0.002863525,0.937026279,-0.000798736,0.906604159,-0.005708797,0.942442423,-0.001239859,0.920244427,siUPF1-Stab
RP9P,-0.002792193,0.821767664,-0.000744627,0.810065707,-0.005580856,0.868962276,-0.00114341,0.833788611,siUPF1-Stab
RPP38,-0.004484036,0.995600857,-0.004054689,0.98735095,-0.012988808,0.963606357,-0.010807643,0.990684687,siUPF1-Stab
RREB1,-0.003465736,0.93142208,-0.00319887,0.928284937,-0.008037319,0.919664058,-0.006764996,0.941365543,siUPF1-Stab
RRP8,-0.003233444,0.911581658,-0.002113178,0.962239577,-0.006673654,0.905108843,-0.003872049,0.94915028,siUPF1-Stab
RTKN,-0.00160842,0.834259769,-0.001162377,0.913110501,-0.002734564,0.812909008,-0.001855779,0.909637931,siUPF1-Stab
S1PR2,-0.004065464,0.956185655,-0.003772817,0.90832512,-0.010469484,0.93814366,-0.009146324,0.927710486,siUPF1-Stab
SAC3D1,-0.00431137,0.95358043,-0.003813028,0.944489428,-0.011808729,0.920268259,-0.009088663,0.945927173,siUPF1-Stab
SBNO2,-0.002896725,0.826452499,-0.002117062,0.836960235,-0.005754554,0.828576803,-0.003745211,0.848293186,siUPF1-Stab
SDHAF1,-0.003989129,0.956687245,-0.003142372,0.974231633,-0.009972322,0.920262778,-0.006579058,0.95836486,siUPF1-Stab
SEMA4C,-0.001341264,0.862674535,-0.000820056,0.873601212,-0.002224302,0.858334648,-0.001273693,0.888049663,siUPF1-Stab
SEMA6A-AS1,-0.005107614,0.929797227,-0.004369467,0.766835975,-0.017038763,0.911895935,-0.010742639,0.803402204,siUPF1-Stab
SERTAD1,-0.005223995,0.965849689,-0.004899133,0.979177696,-0.019782418,0.927743035,-0.016622682,0.94180593,siUPF1-Stab
SESN2,-0.00486618,0.910845658,-0.004587107,0.92258503,-0.014547805,0.893405803,-0.01263522,0.907424475,siUPF1-Stab
SGK223,-0.003392657,0.970897486,-0.002454563,0.897210046,-0.007474349,0.96340866,-0.004682605,0.853977971,siUPF1-Stab
SIMC1,-0.004231855,0.931173626,-0.003901263,0.967213097,-0.01116135,0.875247449,-0.009708204,0.961331033,siUPF1-Stab
SLC35E4,-0.004098436,0.778937817,-0.00334708,0.925554925,-0.009677502,0.848072378,-0.007437335,0.910110905,siUPF1-Stab
SLC5A10,-0.004024197,0.897217605,-0.003356879,0.876917455,-0.010666525,0.789751799,-0.007073001,0.887108758,siUPF1-Stab
SMIM10L2B,-0.003416562,0.929198074,-0.002525904,0.906045454,-0.00755295,0.922671397,-0.004795009,0.911591584,siUPF1-Stab
SOCS1,-0.004572924,0.974451213,-0.004162781,0.854228433,-0.014546383,0.934174648,-0.012375812,0.969168837,siUPF1-Stab
SOWAHD,-0.005122019,0.947419749,-0.004504278,0.961740538,-0.022642321,0.829908551,-0.014137349,0.974890133,siUPF1-Stab
SOX13,-0.003233299,0.9457657,-0.002731039,0.97490404,-0.00685952,0.923241122,-0.005371431,0.966824052,siUPF1-Stab
SOX7,-0.004137009,0.922540366,-0.003956289,0.908107901,-0.011973423,0.90565077,-0.010293177,0.89815082,siUPF1-Stab
SOX8,-0.002899581,0.903446623,-0.002197947,0.782491766,-0.00587131,0.895742581,-0.003962971,0.817631648,siUPF1-Stab
SP8,-0.004372969,0.958016451,-0.004045051,0.742346194,-0.013427341,0.932065312,-0.012042979,0.880654634,siUPF1-Stab
SPATA2L,-0.004236507,0.790075385,-0.003363806,0.832969428,-0.010496413,0.839942574,-0.007010614,0.864776709,siUPF1-Stab
SPATA7,-0.002859842,0.842556906,-0.00256873,0.982063361,-0.005551649,0.84512763,-0.00492253,0.971852976,siUPF1-Stab
SPRED2,-0.004187554,0.951540854,-0.003903331,0.889056034,-0.010737535,0.93122521,-0.009021912,0.889632852,siUPF1-Stab
SPSB2,-0.002968274,0.943669722,-0.002286385,0.947933737,-0.006279011,0.898165206,-0.00421396,0.952155167,siUPF1-Stab
SRC,-0.002337802,0.8696258,-0.00160494,0.906651636,-0.004336131,0.858684834,-0.002674233,0.902795913,siUPF1-Stab
SRSF12,-0.002180863,0.810073218,-0.001955,0.792496957,-0.003927923,0.819028489,-0.003362521,0.823235674,siUPF1-Stab
SURF6,-0.001610526,0.981552206,-0.001431704,0.954934835,-0.002724971,0.980752581,-0.002363749,0.953959078,siUPF1-Stab
TADA2B,-0.004090724,0.978685235,-0.003635393,0.963262596,-0.010449079,0.945139556,-0.008290536,0.941524759,siUPF1-Stab
TBC1D10B,-0.00186625,0.746893159,-0.001682512,0.871814915,-0.003293712,0.727622278,-0.002828383,0.882524274,siUPF1-Stab
TBCC,-0.004127638,0.981949538,-0.003674587,0.964892203,-0.010993463,0.948529507,-0.009024684,0.996730799,siUPF1-Stab
TCEANC,-0.004790725,0.84333001,-0.004368137,0.815060899,-0.019292472,0.963054222,-0.014508443,0.957075282,siUPF1-Stab
THAP3,-0.004314111,0.957432828,-0.002977143,0.979252502,-0.011582915,0.923678066,-0.006128725,0.974492106,siUPF1-Stab
THAP7,-0.003213775,0.951558651,-0.002609143,0.920832335,-0.006988622,0.921895543,-0.005025241,0.936794804,siUPF1-Stab
TIFA,-0.005242933,0.924425657,-0.00453461,0.982022724,-0.018717591,0.894712007,-0.013975275,0.913228716,siUPF1-Stab
